d|0|10101*0.2,10102*0.2,10103*0.2,10104*0.2,10105*0.2
s|25|10801*0.2,10802*0.2,10803*0.2,10804*0.2,10805*0.2
s|50|10801*0.2,10802*0.2,10803*0.2,10804*0.2,10805*0.2
s|75|10801*0.2,10802*0.2,10803*0.2,10804*0.2,10805*0.2
s|100|10801*0.2,10802*0.2,10803*0.2,10804*0.2,10805*0.2
s|125|10801*0.2,10802*0.2,10803*0.2,10804*0.2,10805*0.2
s|150|10801*0.2,10802*0.2,10803*0.2,10804*0.2,10805*0.2
s|175|10801*0.2,10802*0.2,10803*0.2,10804*0.2,10805*0.2
s|200|10801*0.2,10802*0.2,10803*0.2,10804*0.2,10805*0.2
s|225|10801*0.2,10802*0.2,10803*0.2,10804*0.2,10805*0.2
s|250|10801*0.2,10802*0.2,10803*0.2,10804*0.2,10805*0.2
