d|0|10101*0.2,10102*0.2,10103*0.2,10104*0.2,10105*0.2
s|30|10106*0.2,10107*0.2,10108*0.2,10109*0.2,10110*0.2
s|45|10106*0.2,10107*0.2,10108*0.2,10109*0.2,10110*0.2
s|60|10106*0.2,10107*0.2,10108*0.2,10109*0.2,10110*0.2
s|80|10106*0.2,10107*0.2,10108*0.2,10109*0.2,10110*0.2
s|100|10106*0.2,10107*0.2,10108*0.2,10109*0.2,10110*0.2
s|120|10106*0.2,10107*0.2,10108*0.2,10109*0.2,10110*0.2
s|140|10106*0.2,10107*0.2,10108*0.2,10109*0.2,10110*0.2
s|160|10106*0.2,10107*0.2,10108*0.2,10109*0.2,10110*0.2
s|200|10106*0.2,10107*0.2,10108*0.2,10109*0.2,10110*0.2
s|250|10106*0.2,10107*0.2,10108*0.2,10109*0.2,10110*0.2
