d|0|10101*0.2,10102*0.2,10103*0.2,10104*0.2,10105*0.2
s|15|10810*0.2,10811*0.2,10812*0.2,10813*0.2,10814*0.2
s|30|10810*0.2,10811*0.2,10812*0.2,10813*0.2,10814*0.2
s|45|10810*0.2,10811*0.2,10812*0.2,10813*0.2,10814*0.2
s|60|10810*0.2,10811*0.2,10812*0.2,10813*0.2,10814*0.2
s|75|10810*0.2,10811*0.2,10812*0.2,10813*0.2,10814*0.2
s|90|10810*0.2,10811*0.2,10812*0.2,10813*0.2,10814*0.2
s|105|10810*0.2,10811*0.2,10812*0.2,10813*0.2,10814*0.2
s|120|10810*0.2,10811*0.2,10812*0.2,10813*0.2,10814*0.2
s|135|10810*0.2,10811*0.2,10812*0.2,10813*0.2,10814*0.2
s|150|10810*0.2,10811*0.2,10812*0.2,10813*0.2,10814*0.2
s|175|10810*0.2,10811*0.2,10812*0.2,10813*0.2,10814*0.2
