d|0|10101*0.2,10102*0.2,10103*0.2,10104*0.2,10105*0.2
s|15|10801*0.2,10802*0.2,10803*0.2,10804*0.2,10805*0.2
s|30|10801*0.2,10802*0.2,10803*0.2,10804*0.2,10805*0.2
s|45|10801*0.2,10802*0.2,10803*0.2,10804*0.2,10805*0.2
s|60|10801*0.2,10802*0.2,10803*0.2,10804*0.2,10805*0.2
s|80|10801*0.2,10802*0.2,10803*0.2,10804*0.2,10805*0.2
s|100|10801*0.2,10802*0.2,10803*0.2,10804*0.2,10805*0.2
s|120|10801*0.2,10802*0.2,10803*0.2,10804*0.2,10805*0.2
s|140|10801*0.2,10802*0.2,10803*0.2,10804*0.2,10805*0.2
s|160|10801*0.2,10802*0.2,10803*0.2,10804*0.2,10805*0.2
s|200|10801*0.2,10802*0.2,10803*0.2,10804*0.2,10805*0.2
s|250|10801*0.2,10802*0.2,10803*0.2,10804*0.2,10805*0.2
